"Country","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Australia",0.820931438,0.866497703,0.902398149,0.940673547,1.047158355,1.163204622,1.278113807,1.372159553,1.288000178,1.271115372,1.221861499,NA,1.179170863,NA,1.003140818,NA,0.943307223,NA,NA,NA
"Austria",NA,1.380854726,NA,1.467507545,1.656073405,1.661041776,1.706421452,1.781248631,1.768098501,1.8656589,1.835638473,2.052532435,2.092684948,2.198638873,2.178088353,2.188013438,2.13581445,2.159813987,2.200625502,NA
"Belgium",1.483384318,1.340262684,1.283033363,1.257266372,1.217795585,1.262677552,1.286421207,1.321990709,1.32039225,1.384506971,1.493053394,1.592272875,1.618009825,1.656554177,1.698185799,1.730986853,1.872510533,2.04891673,2.339370992,NA
"Canada",1.246436351,1.134712916,1.123174632,1.133836079,1.100106219,1.100825602,1.062141994,1.004441049,1.020661425,0.948532095,0.952277343,0.913966225,0.872547046,0.912678242,0.902011162,0.924348382,0.889079486,0.87492291,0.805768958,0.865388758
"Czech Republic",0.661150328,0.670807163,0.696591127,0.711247708,0.675241721,0.718664273,0.747006725,0.71059585,0.711260882,0.751671697,0.840603301,0.934918427,1.002041943,1.081063932,1.040942059,1.021087326,1.111582536,1.176664484,1.196913851,NA
"Denmark",1.594286707,1.685066171,1.735081656,1.645975145,1.63356835,1.608452925,1.757574413,1.938528075,2.131896745,1.955497232,1.964768607,1.954852556,1.881542836,1.858250078,1.939100811,2.012422176,1.85853823,1.872017499,1.822054018,NA
"Estonia",0.234633412,0.218173142,0.259002825,0.329617223,0.413695127,0.494777424,0.499289491,0.540193847,0.620657015,0.785591743,1.442995802,1.213230782,0.817510598,0.618577131,0.671006435,0.634749455,0.601984736,0.596970868,0.859051925,NA
"Finland",2.270653804,2.27301486,2.324842997,2.320178046,2.354102024,2.375857939,2.41263011,2.626301959,2.666984324,2.580198572,2.54923176,2.335389605,2.252534003,2.131253716,1.914658088,1.79373661,1.780062837,1.808717308,1.83462984,NA
"France",1.351069432,1.375379213,1.327444264,1.321780029,1.27431141,1.2937563,1.275019342,1.29298677,1.364678402,1.375969586,1.401624296,1.438210574,1.444824718,1.44818934,1.444501432,1.446900336,1.437980805,1.436408176,1.444858656,NA
"Germany",1.67232364,1.68098193,1.719547652,1.695587221,1.689064768,1.72522515,1.721669901,1.809274727,1.851185536,1.830018718,1.896271106,1.959345211,1.905355079,1.946980799,2.014156461,2.004185355,2.110130496,2.148167238,2.198588017,NA
"Greece",0.182727504,0.175638479,0.175227314,0.16383277,0.179357328,0.168593297,0.164821191,0.206950367,0.22642215,0.237988759,0.238978285,0.243432839,0.272074187,0.284393352,0.3188855,0.424938599,0.561123015,0.583940222,0.587688485,NA
"Hungary",0.366088046,0.348906688,0.337442447,0.354129058,0.397815071,0.472407828,0.481178259,0.51453144,0.647153192,0.676409076,0.73706048,0.825269525,0.962925193,0.963586784,0.984574,0.875679579,0.963900939,1.140820007,1.109523444,NA
"Iceland",1.67189409,1.61367002,1.400312762,NA,1.380413589,1.51756869,1.382062567,1.344525507,1.306949163,1.270524691,1.277228854,NA,0.945067147,1.18239281,1.439514978,1.359385143,1.340539144,1.288797825,1.597951121,NA
"Ireland",0.737644899,0.726854342,0.759274683,0.774700294,0.78129181,0.79301669,0.813272334,0.899000369,1.100478589,1.093552356,1.087797935,1.120301609,1.125677343,1.07959011,0.849561247,0.846646896,0.922214096,0.849501014,0.91455815,NA
"Israel",3.37419491,3.299462284,3.044885077,3.101801055,3.296160422,3.386087346,3.713746962,3.601497555,3.451868124,3.266775601,3.370390972,3.50548657,3.448290504,3.535386365,3.630350329,3.910140527,4.123629325,4.279369988,4.387049291,NA
"Italy",0.510751633,0.52260348,0.50039679,0.502162404,0.525951683,0.528780176,0.585488418,0.621194586,0.649108366,0.656571418,0.656573884,0.683789855,0.711851852,0.758493949,0.778467459,0.830776369,0.854550992,0.899431909,0.92628475,NA
"Japan",2.153846892,2.207304129,2.244206809,2.241642581,2.393514857,2.490308877,2.564602693,2.583149528,2.421279901,2.375728195,2.466942434,2.431786262,2.494975433,2.61874941,2.543666059,2.446575512,2.494950576,2.558770606,2.532139784,NA
"Korea",1.735956045,1.653456241,1.732776388,1.873522278,1.938930039,2.100909754,2.190122479,2.252616285,2.336741435,2.480187644,2.749101352,3.001359863,3.102300354,3.189810169,3.084185243,3.099328098,3.40815538,3.626314439,3.726168597,NA
"Latvia",0.146651557,0.16726787,0.123617742,0.177622481,0.21524555,0.326734239,0.179675723,0.14484175,0.163836495,0.225003561,0.192397734,0.14896802,0.171874508,0.244770985,0.153088984,0.106465668,0.139083281,0.158874283,0.168633853,NA
"Lithuania",0.194279272,0.110832358,0.139507539,0.161029273,0.152541077,0.221308595,0.22871152,0.187464407,0.202650744,0.230278889,0.236656134,0.240468748,0.241518577,0.318020316,0.285816051,0.294575483,0.329886979,0.391980237,0.430621186,NA
"Luxembourg",NA,NA,1.448766773,1.406810811,1.358594308,1.434552817,1.331401376,1.264143557,1.272970085,0.995574373,0.96421502,0.703661887,0.683662383,0.679183854,0.686631042,0.719919665,0.707569449,0.624614071,0.631018767,NA
"Mexico",0.098203841,0.120318992,0.12058674,0.165607074,0.187062901,0.180393742,0.173588134,0.154026839,0.175855592,0.173376263,0.164479173,0.112708101,0.108190092,0.077750151,0.079920827,0.0861749,0.073910871,0.064881569,0.06192655,0.064717376
"Netherlands",0.977834777,0.906538531,0.936799204,0.958083154,0.938311765,0.937479685,0.887478399,0.813197816,0.784198245,0.816349519,1.064294996,1.083918918,1.407951694,1.40627792,1.378969519,1.412886804,1.445107066,1.420954099,1.456974005,NA
"New Zealand",0.407110448,NA,0.468574829,NA,0.466437948,NA,0.49444751,NA,0.522886581,NA,0.560028166,NA,0.535241761,NA,0.627398762,NA,0.732668644,0.784752267,0.841265158,NA
"Norway",0.933289267,0.935922912,0.962678756,0.841701159,0.793095633,0.777614394,0.822041611,0.826542237,0.889514886,0.845470868,0.848986441,0.847329653,0.867256833,0.921375796,1.042862359,1.08915068,1.104348449,1.054984665,1.14095942,NA
"Poland",0.222724644,0.113258328,0.147517801,0.158462572,0.178702311,0.173765301,0.170584114,0.185419553,0.18838578,0.191693092,0.22498628,0.328998511,0.382043378,0.440153479,0.467011491,0.632282382,0.666984951,0.798981964,0.829884367,NA
"Portugal",0.243278004,0.234419092,0.231425374,0.262745949,0.29139513,0.442920921,0.576003197,0.723103791,0.747404076,0.705022331,0.690728023,0.685301584,0.629300499,0.598638604,0.57677023,0.620122887,0.665222016,0.694292302,0.73405717,NA
"Slovak Republic",0.420556096,0.362265837,0.309936364,0.246284485,0.245901998,0.204482587,0.176981108,0.197854124,0.194048355,0.256999948,0.244227472,0.328883485,0.379601821,0.323428387,0.324930319,0.398166603,0.479734345,0.454445004,0.453483494,NA
"Slovenia",0.848038623,0.861337288,0.797695715,0.917738395,0.834110398,0.925766901,0.85377956,1.050141525,1.170596756,1.390986305,1.782269283,1.939405633,1.962833626,1.829495291,1.674478202,1.519834596,1.394996861,1.444404779,1.51109133,NA
"Spain",0.46520165,0.523824765,0.553860939,0.566060107,0.591469466,0.653255504,0.693038728,0.727645125,0.707699732,0.699765081,0.695302337,0.688030975,0.676866706,0.657293854,0.64217374,0.639768728,0.665243905,0.701271589,0.702216952,NA
"Sweden",3.000928654,NA,2.661425658,2.471844686,2.44622725,2.59511902,2.359802402,2.569592583,2.408260347,2.177815474,2.2013973,2.189717255,2.248009311,2.07955459,2.243320573,2.259576433,2.398502603,2.356333671,2.428915924,NA
"Turkey",0.176270202,0.14607819,0.108086066,0.120201147,0.190744892,0.20472172,0.283141409,0.304012291,0.321478584,0.337674741,0.342884071,0.372512949,0.385621019,0.426299541,0.438494054,0.508612538,0.541877425,0.619675736,0.682856579,NA
"United States",1.909094672,1.772682792,1.751786443,1.705465898,1.734795561,1.792804994,1.863199616,1.975695387,1.954421268,1.86083266,1.892169525,1.86609168,1.921542229,1.943989185,1.950954752,2.02468115,2.076402882,2.162041555,2.266695643,NA
"European Union (28 countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OECD - Total",1.461458629,1.413350773,1.408248078,1.391965469,1.422909475,1.459474751,1.499164067,1.54562539,1.530300508,1.493384908,1.53050096,1.537782777,1.569636493,1.596382526,1.597411603,1.61513767,1.659974999,1.716535851,1.763965746,NA
"United Kingdom",1.052201603,1.049878291,1.009148312,0.961540359,0.955436966,0.972694308,1.010985418,1.000217818,1.008967958,1.000443953,1.048597679,0.99935739,1.036197662,1.070038347,1.087974262,1.114170868,1.144880718,1.169501987,1.170008662,NA
"Scotland",0.6,0.56,0.46,0.43,0.47,0.4,0.46,0.45,0.51,0.5,0.54,0.54,0.58,0.66,0.65,0.7,0.8,0.83,0.84,NA
