"Name","Year","blueorgreen"
"Aberdeen City",2013,64.4
"Aberdeenshire",2013,67.6
"Angus",2013,83.5
"Argyll and Bute",2013,70.2
"Clackmannanshire",2013,70.8
"Dumfries and Galloway",2013,88
"Dundee City",2013,70.9
"East Ayrshire",2013,67.7
"East Dunbartonshire",2013,55.9
"East Lothian",2013,86.4
"East Renfrewshire",2013,59.4
"Edinburgh, City of",2013,67.3
"Falkirk",2013,71.6
"Fife",2013,78.1
"Glasgow City",2013,58.9
"Highland",2013,59.3
"Inverclyde",2013,57.2
"Midlothian",2013,77.5
"Moray",2013,72.4
"Na h-Eileanan Siar",2013,73.6
"North Ayrshire",2013,53.6
"North Lanarkshire",2013,60.1
"Orkney Islands",2013,89.3
"Perth and Kinross",2013,75.3
"Renfrewshire",2013,70.2
"Scottish Borders",2013,76.7
"Shetland Islands",2013,82
"South Ayrshire",2013,69
"South Lanarkshire",2013,64.5
"Stirling",2013,75.8
"West Dunbartonshire",2013,51.4
"West Lothian",2013,66.3
"Aberdeen City",2014,74.5
"Aberdeenshire",2014,70.7
"Angus",2014,68.5
"Argyll and Bute",2014,68.1
"Clackmannanshire",2014,79.1
"Dumfries and Galloway",2014,90.6
"Dundee City",2014,52.8
"East Ayrshire",2014,78.5
"East Dunbartonshire",2014,67.4
"East Lothian",2014,80.9
"East Renfrewshire",2014,62.4
"Edinburgh, City of",2014,67.7
"Falkirk",2014,57.3
"Fife",2014,80.3
"Glasgow City",2014,59.4
"Highland",2014,70.9
"Inverclyde",2014,56.5
"Midlothian",2014,74.4
"Moray",2014,66.6
"Na h-Eileanan Siar",2014,76.3
"North Ayrshire",2014,71.8
"North Lanarkshire",2014,57.7
"Orkney Islands",2014,86.1
"Perth and Kinross",2014,73.5
"Renfrewshire",2014,70.9
"Scottish Borders",2014,81.8
"Shetland Islands",2014,75
"South Ayrshire",2014,76.9
"South Lanarkshire",2014,65.7
"Stirling",2014,84.3
"West Dunbartonshire",2014,51.7
"West Lothian",2014,58.5
"Aberdeen City",2015,59.3
"Aberdeenshire",2015,72.4
"Angus",2015,75.3
"Argyll and Bute",2015,63.4
"Clackmannanshire",2015,67.9
"Dumfries and Galloway",2015,85.5
"Dundee City",2015,58.5
"East Ayrshire",2015,74.2
"East Dunbartonshire",2015,75.4
"East Lothian",2015,84.5
"East Renfrewshire",2015,64.5
"Edinburgh, City of",2015,64.9
"Falkirk",2015,56.4
"Fife",2015,73.9
"Glasgow City",2015,54.7
"Highland",2015,81.4
"Inverclyde",2015,60.2
"Midlothian",2015,77.2
"Moray",2015,79.8
"Na h-Eileanan Siar",2015,74.4
"North Ayrshire",2015,68.4
"North Lanarkshire",2015,64.4
"Orkney Islands",2015,53
"Perth and Kinross",2015,67
"Renfrewshire",2015,56.5
"Scottish Borders",2015,83.3
"Shetland Islands",2015,78.5
"South Ayrshire",2015,75.4
"South Lanarkshire",2015,66.2
"Stirling",2015,79.8
"West Dunbartonshire",2015,56.5
"West Lothian",2015,57.6
"Aberdeen City",2016,61.5
"Aberdeenshire",2016,70.6
"Angus",2016,61.1
"Argyll and Bute",2016,64.6
"Clackmannanshire",2016,68.3
"Dumfries and Galloway",2016,68.4
"Dundee City",2016,50.5
"East Ayrshire",2016,72.3
"East Dunbartonshire",2016,62.3
"East Lothian",2016,83
"East Renfrewshire",2016,65.3
"Edinburgh, City of",2016,65.7
"Falkirk",2016,62
"Fife",2016,69.7
"Glasgow City",2016,55
"Highland",2016,76.1
"Inverclyde",2016,68
"Midlothian",2016,76.4
"Moray",2016,75.1
"Na h-Eileanan Siar",2016,76.1
"North Ayrshire",2016,63.2
"North Lanarkshire",2016,64.7
"Orkney Islands",2016,74
"Perth and Kinross",2016,76
"Renfrewshire",2016,69.5
"Scottish Borders",2016,82.3
"Shetland Islands",2016,85.4
"South Ayrshire",2016,73.3
"South Lanarkshire",2016,60.5
"Stirling",2016,75.5
"West Dunbartonshire",2016,38.9
"West Lothian",2016,50.7
"Aberdeen City",2017,56.7
"Aberdeenshire",2017,65.4
"Angus",2017,62.4
"Argyll and Bute",2017,61.3
"Clackmannanshire",2017,78.9
"Dumfries and Galloway",2017,71.5
"Dundee City",2017,51.1
"East Ayrshire",2017,73.4
"East Dunbartonshire",2017,66.6
"East Lothian",2017,82.3
"East Renfrewshire",2017,53.3
"Edinburgh, City of",2017,66
"Falkirk",2017,57.2
"Fife",2017,74.2
"Glasgow City",2017,55.8
"Highland",2017,78.4
"Inverclyde",2017,58.1
"Midlothian",2017,78.4
"Moray",2017,79.8
"Na h-Eileanan Siar",2017,62.8
"North Ayrshire",2017,63.3
"North Lanarkshire",2017,57.6
"Orkney Islands",2017,69
"Perth and Kinross",2017,72.4
"Renfrewshire",2017,63.2
"Scottish Borders",2017,74
"Shetland Islands",2017,82.6
"South Ayrshire",2017,75.7
"South Lanarkshire",2017,58.7
"Stirling",2017,76.5
"West Dunbartonshire",2017,58.3
"West Lothian",2017,52.7
"Aberdeen City",2018,57.9
"Aberdeenshire",2018,79.9
"Angus",2018,63.6
"Argyll and Bute",2018,74.1
"Clackmannanshire",2018,67.4
"Dumfries and Galloway",2018,83.8
"Dundee City",2018,50
"East Ayrshire",2018,70.5
"East Dunbartonshire",2018,65.4
"East Lothian",2018,85.5
"East Renfrewshire",2018,54.3
"Edinburgh, City of",2018,71.6
"Falkirk",2018,47.2
"Fife",2018,74.2
"Glasgow City",2018,50.7
"Highland",2018,73.9
"Inverclyde",2018,58
"Midlothian",2018,78.5
"Moray",2018,73.1
"Na h-Eileanan Siar",2018,81.6
"North Ayrshire",2018,57.1
"North Lanarkshire",2018,61.7
"Orkney Islands",2018,62.2
"Perth and Kinross",2018,76.5
"Renfrewshire",2018,57.2
"Scottish Borders",2018,76.5
"Shetland Islands",2018,90.8
"South Ayrshire",2018,67
"South Lanarkshire",2018,63.8
"Stirling",2018,75
"West Dunbartonshire",2018,46.9
"West Lothian",2018,55.3
"Aberdeen City",2019,52.1
"Aberdeenshire",2019,63.1
"Angus",2019,65.5
"Argyll and Bute",2019,59.6
"Clackmannanshire",2019,78.1
"Dumfries and Galloway",2019,85
"Dundee City",2019,47.6
"East Ayrshire",2019,65.7
"East Dunbartonshire",2019,64
"East Lothian",2019,84
"East Renfrewshire",2019,54.2
"Edinburgh, City of",2019,69.2
"Falkirk",2019,65.9
"Fife",2019,77.4
"Glasgow City",2019,55.1
"Highland",2019,68.7
"Inverclyde",2019,51.1
"Midlothian",2019,77.9
"Moray",2019,75.8
"Na h-Eileanan Siar",2019,82.6
"North Ayrshire",2019,64.9
"North Lanarkshire",2019,60.7
"Orkney Islands",2019,49.8
"Perth and Kinross",2019,65.9
"Renfrewshire",2019,48
"Scottish Borders",2019,79.1
"Shetland Islands",2019,81.9
"South Ayrshire",2019,75.5
"South Lanarkshire",2019,63.5
"Stirling",2019,84.5
"West Dunbartonshire",2019,54.2
"West Lothian",2019,80.8
